message_text,scam_type,manipulation_type,keywords,scam_score,label,source_channel,language,target_audience,attack_vector,scam_stage,scam_intent
Your .. Aadhaar .. is .. being .. used .. for .. illegal .. activities. .. Verify .. identity: .. https://cutt.ly/h1549,government_impersonation,"fear,authority,curiosity",Aadhaar,0.9,scam,WhatsApp,english,general,impersonation,information_theft,identity_theft
"Dear customer, minimum balance in your Canara account is Rs.500000",legitimate_message,none,none,0.07,legitimate,Email,english,general,none,none,none
"Train ticket booked: PNR 805787408, Journey date: 10/4/2024",legitimate_message,none,booked,0.24,legitimate,SMS,english,general,none,none,none
"Train ticket booked: PNR 168674247, Journey date: 6/8/2024",legitimate_message,none,booked,0.02,legitimate,SMS,english,general,none,none,none
FINAL .. NOTICE: .. BOB .. KYC .. pending. .. Complete .. verification: .. https://tinyurl.com/b4603,bank_kyc_scam,urgency,KYC,0.78,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
PAN Card blocked by Income Tax Dept. Reactivate: https://tinyurl.com/k9705 ✅,government_impersonation,"urgency,fear,authority","Income Tax,PAN",0.84,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Your .. BOB .. ATM .. card .. will .. be .. block. .. Update .. KYC .. now: .. https://tinyurl.com/f5971,bank_kyc_scam,"urgency,authority","KYC,blocked,update",0.77,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Your phone data being stolen. Microsoft support: Call +91-9322266401,tech_support_scam,"fear,social_engineering",none,0.81,scam,SMS,english,general,impersonation,initial_contact,steal_information
Aapke account me Rs.100000 aaya hai payment accept kare: https://tinyurl.com/i1778,upi_payment_scam,reward,"payment,Rs,accept",0.65,scam,WhatsApp,hinglish,general,payment_request,payment_request,financial_fraud
CONGRATULATIONS! You won Rs.50000 in KBC lottery. Claim: https://cutt.ly/v5915,lottery_scam,"reward,curiosity","lottery,congratulations,won,claim",0.74,scam,SMS,english,general,phishing_link,trust_building,steal_information
Package delivery on hold. Verify shipping address: https://short.link/p5382,parcel_delivery_scam,"urgency,curiosity","delivery,package",0.63,scam,SMS,english,online_shoppers,phishing_link,information_theft,steal_information
You are selected for Flipkart annual prize Rs.500000. Registration required,lottery_scam,"reward,curiosity",prize,0.65,scam,SMS,english,online_shoppers,information_theft,trust_building,financial_fraud
Income .. Tax .. notice .. for .. Rs.1000 .. unpaid .. tax. .. Pay .. immediately: .. https://short.link/d7642,government_impersonation,"urgency,authority",Income Tax,0.84,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Rs.{amount} lagao aur Rs.{amount2} kamao 30 din me 100% guarantee: https://short.link/t6596 🚨,investment_scam,reward,"returns,guaranteed",0.81,scam,WhatsApp,hinglish,investors,phishing_link,initial_contact,steal_information
REFUND ALERT: Rs.100000 from Reliance ready. Verify account: https://cutt.ly/k2800,refund_scam,"reward,curiosity",refund,0.85,scam,SMS,english,online_shoppers,phishing_link,information_theft,steal_information
IMPORTANT: IndusInd acont frozen due to KYC non-compliance. Updat immediately: https://short.link/h6076 💰,bank_kyc_scam,"urgency,fear","KYC,update,account",0.86,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Your Instagram password changed by someone. Reset here: https://bit.ly/m5674,tech_support_scam,fear,none,0.71,scam,SMS,english,general,impersonation,initial_contact,steal_information
Your rupay of Rs.10000 failed but amount debited. Refund: https://short.link/m2287 ⚠️,refund_scam,reward,refund,0.8,scam,WhatsApp,hinglish,online_shoppers,phishing_link,initial_contact,steal_information
Invest Rs.500000 get Rs.250000 in 30 days! 100% guarantee returns: https://ow.ly/s2469 🎉,investment_scam,urgency,"invest,returns,guaranteed",0.67,scam,WhatsApp,english,investors,phishing_link,initial_contact,steal_information
Your electricity bill for Rs.50000 is due by 3/11/2024. Pay online.,legitimate_message,none,none,0.25,legitimate,SMS,english,general,none,none,none
Confirm OTP 700479 to stop unauthorized transaction of Rs.50000,otp_scam,"urgency,fear,social_engineering",OTP,0.91,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Congratulations!! Rs.25000 cashback approved. Claim now: https://rb.gy/p6475,upi_payment_scam,"urgency,reward","cashback,Rs",0.75,scam,SMS,english,general,payment_request,trust_building,financial_fraud
Your phone will be locked in 24 hours due to virus. Fix now: https://ow.ly/s6684 🎉,tech_support_scam,"urgency,fear",virus,0.66,scam,WhatsApp,english,general,malware_link,initial_contact,spread_malware
WhatsApp job opportunity - Rs.1000/day. Limited seats: https://bit.ly/m7790,job_scam,reward,job,0.62,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your OTP for WhatsApp login is 964008. Valid for 10 minutes. Do not share.,legitimate_message,none,OTP,0.08,legitimate,SMS,english,general,none,none,none
Your electricity bill for Rs.25000 is due by 10/3/2024. Pay online.,legitimate_message,none,none,0.14,legitimate,SMS,english,general,none,none,none
Income Tax Dept: You have pending refund of Rs.100000. Claim: https://tinyurl.com/h8093,government_impersonation,"authority,reward",Income Tax,0.83,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Welcome to Amazon! Your registration is complete.,legitimate_message,none,none,0.07,legitimate,SMS,english,online_shoppers,none,none,none
ur PhonePe limit increased to Rs.2500. Activate now: https://tinyurl.com/s1508,upi_payment_scam,"urgency,reward",Rs,0.72,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
"Dear customer, minimum balance in your ICICI account is Rs.10000",legitimate_message,none,none,0.01,legitimate,Email,english,general,none,none,none
WHATSAPP .. INVESTMENT .. GROUP .. - .. RS.500 .. TO .. RS.500000 .. IN .. 1 .. MONTH .. GUARANTEED,investment_scam,reward,"invest,guaranteed",0.81,scam,WhatsApp,english,investors,information_theft,initial_contact,financial_fraud
Congratulations! Rs.500000 cashback approved. Claim now: https://cutt.ly/b5259,upi_payment_scam,"urgency,reward","cashback,Rs",0.79,scam,SMS,english,general,payment_request,trust_building,financial_fraud
"Dear customer, your HDFC account credited with Rs.5000 on 7/7/2024",legitimate_message,none,none,0.24,legitimate,Email,english,general,none,none,none
Your phone will be locked in 24 hours due to virus. Fix now: https://rb.gy/y4055,tech_support_scam,urgency,virus,0.77,scam,SMS,english,general,malware_link,initial_contact,spread_malware
Congratulations! Rs.100000 cashback approved. Claim now: https://short.link/x2894,upi_payment_scam,"urgency,reward","cashback,Rs",0.71,scam,SMS,english,general,payment_request,trust_building,financial_fraud
Your Netflix subscription renewed successfully. Amount: Rs.2500,legitimate_message,none,none,0.14,legitimate,SMS,english,general,none,none,none
Invest Rs.100000 get Rs.1000000 in 30 days! 100% guaranteed returns: https://short.link/c1477,investment_scam,urgency,"invest,returns,guaranteed",0.87,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
Your Flipkart delivery arriving today between 9:30 PM. Track: 815845093,legitimate_message,none,none,0.19,legitimate,SMS,english,online_shoppers,none,none,none
Meeting reminder: Team sync scheduled for 22/2/2024 at 14:00 AM,legitimate_message,none,reminder,0.12,legitimate,SMS,english,general,none,none,none
Stock market expert tips - 1000% returns guaranteed. Subscribe: https://ow.ly/j3382,investment_scam,urgency,"returns,guaranteed",0.87,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
Congratulations! Selected for online job Rs.5000/month. Deposit Rs.5000 security,job_scam,reward,job,0.6,scam,SMS,english,job_seekers,information_theft,payment_request,financial_fraud
Your OTP is 763516. DO NOT share with anyone. Valid for 10 minutes.,otp_scam,"urgency,social_engineering","OTP,share",0.9,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Your Flipkart order 626384643 has been shipped and will arrive by 24/2/2024,legitimate_message,none,none,0.06,legitimate,SMS,english,online_shoppers,none,none,none
BlueDart: Delivery attempted. Pay Rs.1000 to reschedule: https://short.link/z7462,parcel_delivery_scam,curiosity,delivery,0.62,scam,SMS,english,online_shoppers,payment_request,payment_request,financial_fraud
REFUND: Rs.2500 credit hua hai verify kare payment link: https://cutt.ly/q2149 ❌,upi_payment_scam,"urgency,reward,curiosity","payment,Rs",0.73,scam,WhatsApp,hinglish,general,payment_request,payment_request,financial_fraud
Rs.50000 pending in your PhonePe wallet. Complete verification: https://ow.ly/j7240,upi_payment_scam,reward,"Rs,wallet",0.64,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Your Infosys delivery arriving today between 17:30 PM. Track: 580973216,legitimate_message,none,none,0.04,legitimate,SMS,english,online_shoppers,none,none,none
PAN Card blok by Income Tax Dept. Reactivate: https://rb.gy/h8612,government_impersonation,"fear,authority","Income Tax,PAN",0.77,scam,SMS,english,general,impersonation,initial_contact,identity_theft
WhatsApp job opportunity - Rs.500000/day. Limited seats: https://short.link/d9785,job_scam,reward,job,0.69,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Aapke account me Rs.2500 aaya hai payment accept kare: https://bit.ly/x3492,upi_payment_scam,urgency,"payment,Rs",0.57,scam,WhatsApp,hinglish,general,payment_request,payment_request,financial_fraud
"Dear customer, your HDFC account credited with Rs.50000 on 1/9/2024",legitimate_message,none,none,0.08,legitimate,Email,english,general,none,none,none
Join our trading group. Make Rs.500 daily from home: https://rb.gy/c2699,investment_scam,urgency,trading,0.67,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
Your flight booking confirmed. PNR: 905717395. Journey: 3/4/2024,legitimate_message,none,confirmed,0.26,legitimate,SMS,english,general,none,none,none
"Last day! Invest Rs.2500 today, get Rs.1000000 tomorrow: https://bit.ly/k1510 🚨",investment_scam,urgency,invest,0.74,scam,WhatsApp,english,investors,phishing_link,initial_contact,steal_information
BlueDart: Delivery attempted. Pay Rs.10000 to reschedule: https://rb.gy/h3280 ⏰,parcel_delivery_scam,urgency,delivery,0.6,scam,WhatsApp,english,online_shoppers,payment_request,payment_request,financial_fraud
Your electricity bill for Rs.2500 is due by 2/8/2024. Pay online.,legitimate_message,none,none,0.12,legitimate,SMS,english,general,none,none,none
IMPORTANT: ICICI account frozen due to KYC non-compliance. Update immediately: https://short.link/f4289,bank_kyc_scam,"urgency,fear,authority","KYC,update,account",0.87,scam,SMS,english,general,impersonation,initial_contact,identity_theft
CONGRATULATIONS! You won Rs.1000 in KBC lottery. Claim: https://tinyurl.com/e5671,lottery_scam,"reward,curiosity","lottery,congratulations,won,claim",0.73,scam,SMS,english,general,phishing_link,trust_building,steal_information
Thank you for shopping with Paytm. Order 312343530 confirmed.,legitimate_message,none,"confirmed,thank you",0.18,legitimate,SMS,english,online_shoppers,none,none,none
WhatsApp .. job .. opportunity .. - .. Rs.500000/day. .. Limited .. seats: .. https://tinyurl.com/o4074,job_scam,urgency,job,0.65,scam,WhatsApp,english,job_seekers,phishing_link,initial_contact,steal_information
DTDC: Your package needs Rs.500 handling charge. Pay here: https://short.link/d4436,parcel_delivery_scam,curiosity,parcel,0.61,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
Double payment detected. Refund Rs.1000 initiated. Confirm: https://tinyurl.com/b1800,refund_scam,"urgency,reward,social_engineering",refund,0.66,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
UPI MANDATE: Accept recurring payment of Rs.25000/month: https://bit.ly/j3011,upi_payment_scam,reward,"UPI,payment,Rs,accept",0.81,scam,SMS,english,general,payment_request,payment_request,financial_fraud
Congratulations! Rs.50000 cashback approved. Claim now: https://ow.ly/p6051,upi_payment_scam,"urgency,reward","cashback,Rs",0.66,scam,SMS,english,general,payment_request,trust_building,financial_fraud
BlueDart: Delivery attempted. Pay Rs.50000 to reschedule: https://short.link/m8528,parcel_delivery_scam,urgency,delivery,0.58,scam,SMS,english,online_shoppers,payment_request,payment_request,financial_fraud
Your payment of Rs.2500 failed but amount debited. Refund: https://short.link/m5846,refund_scam,reward,refund,0.66,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
ALERT: Suspicious activity on aapka device. Contact support: +91-9625551977,tech_support_scam,"urgency,social_engineering",alert,0.61,scam,WhatsApp,hinglish,general,impersonation,initial_contact,steal_information
Your Flipkart parcel is held at customs. Pay Rs.100000 duty: https://bit.ly/h3465 ‼️,parcel_delivery_scam,curiosity,"parcel,customs,duty,held",0.78,scam,WhatsApp,english,online_shoppers,payment_request,payment_request,financial_fraud
Your number is selected in TCS mega lottery Rs50000 crores!,lottery_scam,reward,lottery,0.68,scam,SMS,english,general,information_theft,trust_building,financial_fraud
Hi! Thanks for contacting Airtel support. Your ticket number: 516282175,legitimate_message,none,none,0.17,legitimate,SMS,english,general,none,none,none
Package delivery on hold. Verify shipping address: https://bit.ly/p3744 ⚠️,parcel_delivery_scam,curiosity,"delivery,package",0.67,scam,WhatsApp,english,online_shoppers,phishing_link,information_theft,steal_information
Your ICICI KYC is expired. Update within 48hrs to continue services: https://rb.gy/s4357 ✅,bank_kyc_scam,urgency,"KYC,update",0.77,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Stock .. market .. expert .. tips .. - .. 1000% .. returns .. guaranteed. .. Subscribe: .. https://short.link/z6613,investment_scam,reward,"returns,guaranteed",0.75,scam,WhatsApp,english,investors,phishing_link,initial_contact,steal_information
Part time job! Din ka Rs.1000 kamao mobile se join karo: https://cutt.ly/j4078 ⏰,job_scam,urgency,job,0.76,scam,WhatsApp,hinglish,job_seekers,phishing_link,initial_contact,steal_information
Your Canara KYC is expired. Update within 48hrs to continue services: https://ow.ly/n4211,bank_kyc_scam,"urgency,fear","KYC,update",0.81,scam,SMS,english,general,impersonation,initial_contact,identity_theft
FINAL .. NOTICE: .. Axis .. KYC .. pending. .. Complete .. verification: .. https://rb.gy/r2923,bank_kyc_scam,"urgency,authority",KYC,0.8,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Confirm OTP 895121 to stop unauthorized transaction of Rs.5000,otp_scam,"urgency,fear,social_engineering",OTP,0.95,scam,SMS,english,general,otp_request,account_takeover,account_takeover
"Train ticket booked: PNR 642043003, Journey date: 8/4/2024",legitimate_message,none,booked,0.07,legitimate,SMS,english,general,none,none,none
"Dear Sir/Madam, As per RBI guidelines, update your SBI KYC details: https://tinyurl.com/v9147",bank_kyc_scam,"fear,authority,curiosity","KYC,update,RBI",0.81,scam,Email,english,elderly,impersonation,initial_contact,identity_theft
Your phone will be locked in 24 hours due to virus. Fix now: https://rb.gy/r5457,tech_support_scam,urgency,virus,0.62,scam,SMS,english,general,malware_link,initial_contact,spread_malware
Package delivery on hold. Verify shipping address: https://tinyurl.com/l1871 ⏰,parcel_delivery_scam,curiosity,"delivery,package",0.7,scam,WhatsApp,english,online_shoppers,phishing_link,information_theft,steal_information
Govt. of India: You are eligible for PM subsidy Rs.50000. Apply: https://rb.gy/v2666,government_impersonation,fear,Govt,0.88,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Reminder: Your PNB credit card payment of Rs.2500 due on 23/12/2024,legitimate_message,none,reminder,0.05,legitimate,SMS,english,general,none,none,none
You are selected for Google Pay vacancy. Pay Rs.500 registration fee: https://tinyurl.com/b2179,job_scam,reward,"registration fee,vacancy",0.58,scam,SMS,english,job_seekers,payment_request,payment_request,financial_fraud
Your Flipkart packet is held at customs. Pay Rs.500 duty: https://rb.gy/z9144 🚨,parcel_delivery_scam,curiosity,"parcel,customs,duty,held",0.75,scam,WhatsApp,english,online_shoppers,payment_request,payment_request,financial_fraud
Welcome to Facebook! Your registration is complete.,legitimate_message,none,none,0.29,legitimate,SMS,english,general,none,none,none
VIRUS ALERT: Your phone is infected. Clean now: https://ow.ly/f5449,tech_support_scam,"urgency,fear","virus,alert,infected",0.71,scam,SMS,english,general,malware_link,initial_contact,spread_malware
Your Hotstar subscription renewed successfully. Amount: Rs.500,legitimate_message,none,none,0.01,legitimate,SMS,english,general,none,none,none
IMPORTANT: ICICI account frozen due to KYC non-compliance. Update immediately: https://rb.gy/y2927,bank_kyc_scam,"urgency,fear","KYC,update,account",0.78,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Courier pakka failed 3 times. Final attempt - update kare details: https://bit.ly/m4229,parcel_delivery_scam,"urgency,curiosity","delivery,courier",0.58,scam,WhatsApp,hinglish,online_shoppers,phishing_link,initial_contact,steal_information
Rs.100000 pending in your Google Pay wallet. Complete verification: https://bit.ly/m8444,upi_payment_scam,urgency,"Rs,wallet",0.58,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Welcome to Amazon! Your registration is complete.,legitimate_message,none,none,0.21,legitimate,SMS,english,online_shoppers,none,none,none
Your BHIM limit increased to Rs.500. Activate now: https://cutt.ly/r5561,upi_payment_scam,urgency,Rs,0.59,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Your OTP for Hotstar login is 187951. Valid for 10 minutes. Do not share.,legitimate_message,none,OTP,0.18,legitimate,SMS,english,general,none,none,none
Your Paytm delivery arriving today between 16:00 PM. Track: 387391810,legitimate_message,none,none,0.01,legitimate,SMS,english,online_shoppers,none,none,none
Your appointment with Dr. Kumar confirmed for 19/1/2024 at 12:00 PM,legitimate_message,none,confirmed,0.22,legitimate,SMS,english,general,none,none,none
Your Hotstar subscription paise wapas Rs.10000 baki. Process: https://short.link/r8074,refund_scam,urgency,"refund,pending",0.7,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
829905 is your security code. Bank official will ask for this to unblock tumhara account,otp_scam,"urgency,authority,social_engineering","code,security",0.92,scam,SMS,english,general,otp_request,account_takeover,account_takeover
"Dear customer, your BOB account credited with Rs.5000 on 26/6/2024",legitimate_message,none,none,0.29,legitimate,Email,english,general,none,none,none
URGENT: .. Complete .. your .. ICICI .. KYC .. verification .. to .. avoid .. account .. suspension. .. Click: .. https://tinyurl.com/q4317 .. 🎉,bank_kyc_scam,"urgency,fear,curiosity","KYC,urgent,account",0.89,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
Apple Security: Your iCloud hacked. Immediate action required: https://bit.ly/v2495 🚨,tech_support_scam,"urgency,fear","hacked,security",0.81,scam,WhatsApp,english,general,impersonation,initial_contact,steal_information
Ayushman Bharat: You are eligible for Rs.2500 health benefit: https://bit.ly/g9469,government_impersonation,authority,none,0.9,scam,SMS,english,general,impersonation,initial_contact,identity_theft
UPI MANDATE: Accept recurring payment of Rs.10000/month: https://tinyurl.com/q4742 ✅,upi_payment_scam,urgency,"UPI,payment,Rs,accept",0.61,scam,WhatsApp,english,general,payment_request,payment_request,financial_fraud
CONGRATULATIONS! You won iPhone 15 + Rs.10000 cash. Claim: https://short.link/t6335,lottery_scam,"reward,curiosity","congratulations,won,claim",0.76,scam,SMS,english,general,phishing_link,trust_building,steal_information
Stock market expert tips - 1000% returns guaranteed. Subscribe: https://rb.gy/d8862,investment_scam,reward,"returns,guaranteed",0.74,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
"Dear customer, your ICICI account credited with Rs.100000 on 28/2/2024",legitimate_message,none,none,0.13,legitimate,Email,english,general,none,none,none
You are eligible for Rs.100000 refund from Jio. Claim: https://cutt.ly/i2755,refund_scam,reward,"refund,eligible,claim",0.66,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Tax refund of Rs.500 approved. Enter bank details: https://rb.gy/w3806 🚨,refund_scam,"urgency,authority,reward","refund,approved,bank details",0.77,scam,WhatsApp,english,online_shoppers,phishing_link,information_theft,steal_information
WINNER ALERT: Your number won Rs.2500 crores in lottery. Claim code: WIN1792,lottery_scam,"reward,curiosity","winner,lottery,won,claim",0.69,scam,SMS,english,general,information_theft,trust_building,financial_fraud
ACTION REQUIRED: PNB KYC update mandatory. Click https://cutt.ly/h8353 to avoid Rs.500 penalty,bank_kyc_scam,"urgency,fear,curiosity","KYC,update",0.85,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Congratulations! Selected for online job Rs.500000/month. Deposit Rs.500000 security,job_scam,reward,job,0.6,scam,SMS,english,job_seekers,information_theft,payment_request,financial_fraud
GST .. refund .. of .. Rs.500000 .. approved .. by .. govt. .. Claim .. now: .. https://bit.ly/r3805 .. ⏰,refund_scam,"urgency,reward","refund,claim,approved",0.81,scam,WhatsApp,english,online_shoppers,phishing_link,initial_contact,steal_information
170673 .. - .. Use .. this .. OTP .. to .. complete .. KYC .. verification .. with .. our .. executive,otp_scam,social_engineering,"OTP,verification",0.75,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
Your flight booking confirmed. PNR: 450474245. Journey: 5/3/2024,legitimate_message,none,confirmed,0.21,legitimate,SMS,english,general,none,none,none
CRITICAL: Your device compromised. Google security alert: https://short.link/v7437,tech_support_scam,fear,"security,alert",0.73,scam,SMS,english,general,impersonation,initial_contact,steal_information
CASHBACK of Rs.50000 waiting. Claim via UPI: https://tinyurl.com/j1180,upi_payment_scam,reward,"UPI,cashback,Rs",0.69,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
"Dear customer, minimum balance in your BOB account is Rs.50000",legitimate_message,none,none,0.14,legitimate,Email,english,general,none,none,none
Govt. of India lottery winner! You won Rs.2500 lakhs. Registration: https://short.link/w3659,lottery_scam,reward,"winner,lottery,won",0.82,scam,SMS,english,general,phishing_link,trust_building,steal_information
Badhai ho! Rs.2500 cashback mil gaya claim karo: https://tinyurl.com/a2698,upi_payment_scam,reward,"Rs,wallet",0.78,scam,SMS,hinglish,general,payment_request,initial_contact,financial_fraud
BlueDart: Delivery attempted. Pay Rs.100000 to reschedule: https://bit.ly/c9686,parcel_delivery_scam,curiosity,delivery,0.78,scam,SMS,english,online_shoppers,payment_request,payment_request,financial_fraud
Part-time kaam chetavani!! Earn Rs.500000 daily from mobile. Join: https://short.link/p9974,job_scam,reward,"job,earn",0.63,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
ALERT: Rs.100000 debited from your khata. Dispute rupay: https://bit.ly/m7515 ‼️,upi_payment_scam,urgency,"payment,Rs",0.76,scam,WhatsApp,hinglish,general,payment_request,initial_contact,financial_fraud
IMPORTANT: SBI account frozen due to KYC non-compliance. Update immediately: https://tinyurl.com/j3228,bank_kyc_scam,"urgency,fear,authority","KYC,update,account",0.78,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Your Flipkart parcel is held at customs. Pay Rs.10000 duty: https://tinyurl.com/p9482,parcel_delivery_scam,curiosity,"parcel,customs,duty,held",0.76,scam,SMS,english,online_shoppers,payment_request,payment_request,financial_fraud
126800 - Use this OTP to pura kare KYC verification with our executive,otp_scam,urgency,"OTP,verification",0.78,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
You are selected for Google Pay annual prize Rs.25000. Registration required,lottery_scam,reward,prize,0.84,scam,SMS,english,general,information_theft,trust_building,financial_fraud
Congratulations! Selected for online job Rs.50000/month. Deposit Rs.50000 security,job_scam,reward,job,0.65,scam,SMS,english,job_seekers,information_theft,payment_request,financial_fraud
URGENT HIRING: TCS needs 500 employees. Apply now: https://cutt.ly/g9401,job_scam,urgency,hiring,0.68,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your phone will be locked in 24 hours due to virus. Fix now: https://cutt.ly/m4269,tech_support_scam,"urgency,fear",virus,0.62,scam,SMS,english,general,malware_link,initial_contact,spread_malware
BOB ALERT: Your account requires KYC update. Update now at https://ow.ly/j1563 or face penalties,bank_kyc_scam,"urgency,authority","KYC,update,account",0.87,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Reminder: Your HDFC credit card payment of Rs.2500 due on 14/5/2024,legitimate_message,none,reminder,0.17,legitimate,SMS,english,general,none,none,none
Double payment detected. Refund Rs.1000 initiated. Confirm: https://tinyurl.com/e1961 ⚠️,refund_scam,"reward,social_engineering",refund,0.87,scam,WhatsApp,english,online_shoppers,phishing_link,payment_request,steal_information
You are selected winner of Flipkart lucky draw - Rs.500! Call +91-8244021682,lottery_scam,reward,"winner,lucky draw",0.67,scam,SMS,english,online_shoppers,information_theft,trust_building,financial_fraud
Double payment detected. Refund Rs.5000 initiated. Confirm: https://bit.ly/f4093,refund_scam,"urgency,reward,social_engineering",refund,0.81,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
Insurance refund approved - Rs.50000. Process within 24hrs: https://bit.ly/t1642,refund_scam,"urgency,reward","refund,approved",0.67,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Google hiring for data entry - Rs.1000/month. Registration: https://bit.ly/l6041,job_scam,urgency,hiring,0.59,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
URGENT: Your package requires redelivery fee of Rs.10000: https://bit.ly/f2958,parcel_delivery_scam,urgency,"delivery,package",0.7,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
IMPORTANT: SBI account frozen due to KYC non-compliance. Update turant: https://tinyurl.com/w9465 💰,bank_kyc_scam,"urgency,fear","KYC,update,account",0.9,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
URGENT: .. Bitcoin .. trading .. opportunity. .. 400% .. profit .. assured. .. Invest .. now: .. https://rb.gy/m1973,investment_scam,"urgency,reward","invest,profit,trading,Bitcoin",0.77,scam,WhatsApp,english,investors,phishing_link,initial_contact,steal_information
Your Flipkart subscription renewed successfully. Amount: Rs.500,legitimate_message,none,none,0.01,legitimate,SMS,english,online_shoppers,none,none,none
Confirm OTP 250866 to stop unauthorized transaction of Rs.10000 ⚠️,otp_scam,"fear,social_engineering",OTP,0.76,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
ur Gmail subscription refund Rs.2500 pending. Process: https://short.link/n6378,refund_scam,"urgency,reward","refund,pending",0.72,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Your Amazon delivery arriving today between 9:30 AM. Track: 865044100,legitimate_message,none,none,0.16,legitimate,SMS,english,online_shoppers,none,none,none
Amazon owes you Rs.50000 wapsi. Last day to claim: https://short.link/a9958,refund_scam,urgency,"refund,claim",0.71,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Govt. of India lottery winner! You won Rs.25000 lakhs. Registration: https://short.link/j4143,lottery_scam,"reward,curiosity","winner,lottery,won",0.79,scam,SMS,english,general,phishing_link,trust_building,steal_information
You .. are .. selected .. for .. PhonePe .. vacancy. .. Pay .. Rs.500 .. registration .. fee: .. https://cutt.ly/t5549 .. ‼️,job_scam,reward,"registration fee,vacancy",0.62,scam,WhatsApp,english,job_seekers,phishing_link,payment_request,steal_information
You .. are .. selected .. for .. Jio .. annual .. prize .. Rs.5000. .. Registration .. required .. ⚠️,lottery_scam,reward,prize,0.78,scam,WhatsApp,english,general,information_theft,trust_building,financial_fraud
WhatsApp lottery winner! Rs.2500 prize. Verify on https://ow.ly/g5346,lottery_scam,"reward,curiosity","winner,lottery,prize",0.82,scam,SMS,english,general,phishing_link,information_theft,steal_information
ICICI ALERT: Your account requires KYC update. Update now at https://rb.gy/r6566 or face penalties ⏰,bank_kyc_scam,urgency,"KYC,update,account",0.84,scam,WhatsApp,english,general,impersonation,initial_contact,identity_theft
ACTION REQUIRED: PNB KYC update mandatory. Click https://tinyurl.com/e4393 to avoid Rs.500 penalty,bank_kyc_scam,"fear,authority,curiosity","KYC,update",0.94,scam,SMS,english,general,impersonation,initial_contact,identity_theft
"Train ticket booked: PNR 489588347, Journey date: 21/10/2024",legitimate_message,none,booked,0.18,legitimate,SMS,english,general,none,none,none
ur akount is locked. Verrify OTP 412856 with support team to unlock,otp_scam,social_engineering,"OTP,verify",0.76,scam,SMS,english,general,otp_request,account_takeover,account_takeover
ALERT: Suspicious activity on your device. Contact support: +91-9516667188,tech_support_scam,"fear,social_engineering",alert,0.64,scam,SMS,english,general,impersonation,initial_contact,steal_information
Your Airtel order is stuck at port. Pay import duty Rs.500: https://tinyurl.com/n9583,parcel_delivery_scam,curiosity,duty,0.76,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
You are selected winner of Flipkart lucky draw - Rs1000!! Call +91-7647231399 ✅,lottery_scam,"reward,curiosity","winner,lucky draw",0.71,scam,WhatsApp,english,online_shoppers,information_theft,trust_building,financial_fraud
